longitude,latitude,Industry
-77.385,35.75,p
-73.8243,42.538999999999994,p
-73.8243,42.538999999999994,p
-73.7638,42.5942,p
-75.3147,40.6175,p
-75.3102,40.6216,p
-73.4994,40.7469,p
-77.78,34.9,p
-70.9119,42.59,p
-87.5444,36.5406,p
-121.4481,40.8014,p
-82.4036,27.7944,p
-99.4463,44.0384,p
-94.1919,43.6122,p
-96.0544,31.8206,p
-91.3556,30.6739,p
-91.3692,30.7261,p
-122.2832,44.7514,p
-119.2396,37.2042,p
-119.3069,37.2,p
-119.3068,37.2001,p
-119.3866,37.1485,p
-119.4898,37.139,p
-119.3289,37.2096,p
-123.49799999999999,40.6467,p
-91.0469,45.4917,p
-114.0708,48.0592,p
-120.3039,45.9192,p
-120.2896,45.8877,p
-118.3241,37.1428,p
-88.0415,45.7883,p
-88.0408,45.7881,p
-108.1697,42.7527,p
-82.6176,38.1707,p
-82.5938,38.3441,p
-114.7914,42.8656,p
-89.4561,41.5992,p
-101.3883,32.2075,p
-96.5101,45.3037,p
-105.2238,40.421,p
-119.4647,45.655,p
-82.7825,43.8508,p
-121.1372,41.1325,p
-120.6034,45.6537,p
-82.5884,35.5612,p
-69.7619,45.1033,p
-75.9278,42.1072,p
-86.8797,40.7656,p
-118.0131,33.907,p
-122.85,42.4361,p
-159.4606,21.9653,p
-117.1583,46.7331,p
-112.7194,44.0274,p
-77.3147,38.2667,p
-101.5319,39.7581,p
-89.7808,44.4306,p
-89.78,44.43,p
-79.7703,35.3839,p
-118.5733,37.2736,p
-118.53200000000001,37.302,p
-118.5017,37.323,p
-118.4797,37.3344,p
-118.4628,37.3499,p
-90.1208,41.2153,p
-90.1742,41.2325,p
-101.5547,46.98,p
-101.5547,46.98,p
-101.5547,46.98,p
-101.5547,46.98,p
-105.0111,40.8638,p
-96.2194,43.9844,p
-78.1799,35.5494,p
-133.1477,55.4765,p
-122.3323,39.8149,p
-116.4372,43.9305,p
-120.3626,42.175,p
-121.7026,47.5345,p
-93.2501,44.8108,p
-111.2614,47.5213,p
-101.36,35.6957,p
-114.1594,35.0361,p
-114.1627,35.0227,p
-92.4539,37.2319,p
-95.0128,45.6608,p
-75.8132,44.0001,p
-75.3442,43.5912,p
-74.4797,40.3622,p
-81.3006,35.6067,p
-117.855,33.9328,p
-88.53,41.1406,p
-88.6233,41.1508,p
-71.5444,42.0145,p
-78.8131,34.535,p
-78.8177,34.5478,p
-74.7534,44.5065,p
-93.1944,34.571,p
-94.3592,45.8614,p
-74.4479,42.4423,p
-79.8775,34.9833,p
-114.8226,42.6998,p
-115.071,42.9138,p
-71.5711,41.1756,p
-71.5211,41.1147,p
-92.4253,40.7031,p
-93.0504,43.86600000000001,p
-113.6267,37.042,p
-77.0818,41.7065,p
-89.3744,43.0789,p
-94.1564,43.6558,p
-94.1536,43.6558,p
-98.5773,34.8508,p
-98.6056,34.8661,p
-98.4525,34.8217,p
-98.5599,34.9104,p
-84.5618,40.9315,p
-94.1017,43.6375,p
-93.4315,44.7855,p
-135.2297,57.0516,p
-123.9942,40.8786,p
-93.4296,44.7964,p
-107.3375,38.4532,p
-113.2972,38.1739,p
-84.2822,34.8839,p
-83.9889,37.7411,p
-77.5611,39.9619,p
-88.2708,43.8794,p
-105.9853,36.9078,p
-104.6814,39.7479,p
-99.3647,34.29,p
-94.3261,39.0919,p
-82.5945,42.9158,p
-98.4003,29.3042,p
-71.6627,42.2255,p
-78.1542,35.3139,p
-85.4133,38.3902,p
-94.4869,40.1006,p
-100.5876,36.5522,p
-108.2153,36.7166,p
-112.8533,38.4889,p
-114.6865,33.6157,p
-114.742,33.68,p
-114.73,33.68,p
-119.8088,45.6932,p
-72.6014,42.2086,p
-82.366,34.8718,p
-98.5819,33.4931,p
-96.0933,44.0508,p
-93.4066,48.6067,p
-87.8989,31.4894,p
-116.0938,43.5377,p
-117.6933,34.5644,p
-72.8167,44.3594,p
-78.1323,36.4216,p
-71.6431,42.4497,p
-72.0994,44.1706,p
-109.2844,40.0864,p
-100.8361,37.9586,p
-121.941,45.6441,p
-70.6116,43.6877,p
-111.34,33.053000000000004,p
-97.0681,36.1438,p
-82.4381,36.4403,p
-71.3224,42.6525,p
-74.7766,40.0389,p
-99.6139,48.9647,p
-118.5248,35.5881,p
-101.4354,35.6647,p
-116.3496,33.2701,p
-87.2328,41.1153,p
-77.81,36.0081,p
-97.3586,31.8594,p
-81.8344,35.3619,p
-71.0339,42.2933,p
-122.7677,38.8348,p
-111.4383,37.9858,p
-105.3325,40.0047,p
-105.3347,40.0111,p
-105.3347,40.0111,p
-105.5,39.9913,p
-117.1472,47.6972,p
-114.97,35.348,p
-81.145,32.0411,p
-117.3478,48.9871,p
-111.8853,40.8869,p
-71.4546,42.1779,p
-84.7569,35.2964,p
-84.9222,34.1256,p
-117.7022,33.7189,p
-73.9689,41.2044,p
-83.6113,41.3822,p
-83.6412,41.3974,p
-83.6402,41.3884,p
-83.7383,41.3786,p
-120.6534,39.4484,p
-117.4183,48.7809,p
-122.3292,41.2792,p
-82.1993,34.4555,p
-77.4672,37.1936,p
-108.1775,43.4179,p
-72.6831,41.9271,p
-150.9401,59.7786,p
-77.0764,36.2606,p
-119.01,39.796,p
-102.7882,46.6115,p
-102.7651,46.6465,p
-88.2286,41.2435,p
-94.1817,46.3758,p
-70.9669,41.7517,p
-92.7167,31.395,p
-76.5389,39.18,p
-101.8861,33.5853,p
-81.9472,30.3206,p
-76.8678,38.6681,p
-72.7942,41.2925,p
-77.5245,37.2208,p
-69.8122,45.6603,p
-71.1931,41.7103,p
-95.6244,29.4731,p
-101.1478,32.9479,p
-117.8402,33.931999999999995,p
-97.6856,36.4769,p
-89.5245,38.6075,p
-96.3317,44.3197,p
-96.3317,44.3144,p
-78.2878,37.7089,p
-83.848,43.1764,p
-73.2934,40.7871,p
-73.2439,40.7814,p
-166.4795,65.3317,p
-70.1031,41.7456,p
-74.1545,40.1894,p
-72.0825,41.3628,p
-75.3508,39.7875,p
-73.1844,41.1692,p
-73.2111,41.1681,p
-97.8025,33.1958,p
-73.1844,41.1706,p
-81.8372,35.7428,p
-84.6694,41.6292,p
-71.6585,43.7155,p
-70.9719,41.9641,p
-111.9934,41.5016,p
-104.9408,39.9825,p
-101.2372,34.4323,p
-74.7078,40.3247,p
-74.4462,40.4757,p
-72.7564,41.4836,p
-82.1431,36.6019,p
-76.3807,40.6696,p
-81.575,35.0786,p
-121.0564,38.6183,p
-103.305,34.7281,p
-103.325,34.7469,p
-111.4077,46.1206,p
-87.6049,37.9691,p
-78.8314,34.3093,p
-71.7169,42.4814,p
-99.6392,41.4031,p
-94.6845,34.1388,p
-99.3231,41.3239,p
-99.5681,41.4547,p
-73.8769,40.8441,p
-83.2978,43.7578,p
-73.6366,43.3085,p
-72.0679,42.2561,p
-118.2414,35.0083,p
-92.4479,41.7278,p
-92.4394,41.7394,p
-73.9764,40.6994,p
-71.584,41.9876,p
-75.7161,39.6689,p
-82.5686,40.7761,p
-90.6992,39.9733,p
-76.7731,38.8249,p
-76.7859,38.8476,p
-72.3222,42.2008,p
-116.8975,44.8367,p
-75.0594,44.2114,p
-87.1189,34.7042,p
-89.198,35.5438,p
-75.4005,38.664,p
-88.2189,45.9472,p
-76.6962,40.0961,p
-80.0438,40.4649,p
-119.7478,39.1522,p
-81.5216,31.1754,p
-77.7139,36.765,p
-69.9678,43.9205,p
-77.8108,36.7639,p
-78.0114,33.9597,p
-103.631,40.2415,p
-84.5431,41.4718,p
-96.3723,30.6474,p
-84.527,41.4609,p
-104.3,29.6,p
-84.5861,41.4764,p
-86.3511,41.8396,p
-98.4176,30.7507,p
-81.9614,37.1753,p
-80.3767,35.7133,p
-80.9387,36.8082,p
-83.5253,30.0688,p
-112.5761,33.4192,p
-99.4142,39.0039,p
-112.7317,38.0233,p
-76.8788,40.955,p
-121.3277,39.9106,p
-68.8046,44.5738,p
-80.3633,35.5419,p
-120.9136,38.2778,p
-121.6672,37.805,p
-99.6353,36.7767,p
-109.1707,44.5082,p
-92.7594,43.3858,p
-101.0761,37.6208,p
-100.177,32.3182,p
-100.1,32.2878,p
-100.0616,32.3116,p
-84.3387,36.121,p
-84.3442,36.1271,p
-96.4779,44.4328,p
-96.6267,44.5281,p
-84.0774,34.1623,p
-118.0419,33.9129,p
-118.0502,33.9144,p
-118.0506,33.9129,p
-101.5786,32.929,p
-68.2425,44.7231,p
-84.1567,36.0211,p
-92.5763,36.3635,p
-80.8703,33.4898,p
-94.4406,41.2258,p
-73.492,41.659,p
-84.9333,40.8465,p
-87.8548,41.1546,p
-78.7743,35.3086,p
-89.5373,29.3591,p
-71.1753,44.4719,p
-113.9266,42.4903,p
-95.8368,38.7551,p
-102.2431,39.3561,p
-91.1167,40.7412,p
-95.75,38.1934,p
-73.2239,44.4814,p
-121.7225,40.8579,p
-121.7203,40.8797,p
-121.6404,40.9095,p
-90.9175,30.1342,p
-83.5406,34.7939,p
-99.1361,41.7803,p
-104.4919,37.8011,p
-90.5138,40.5486,p
-94.3444,38.2644,p
-82.38,29.6231,p
-88.4811,43.4003,p
-84.3165,32.5755,p
-94.35,38.27,p
-84.2758,32.5619,p
-78.8294,35.0986,p
-121.1907,40.1757,p
-121.6442,39.6481,p
-119.4222,45.7017,p
-75.5347,35.2672,p
-81.9025,34.1697,p
-92.9394,44.5119,p
-80.9333,36.7858,p
-114.0575,42.5609,p
-88.4381,43.6575,p
-89.2819,42.0742,p
-81.9229,28.0801,p
-84.6466,30.3885,p
-115.9779,42.9449,p
-117.1436,32.6947,p
-101.4224,32.2732,p
-98.3269,40.9228,p
-85.9396,44.2591,p
-122.2189,38.0572,p
-121.685,42.1658,p
-77.2061,40.2142,p
-78.6243,34.8229,p
-78.5261,35.6744,p
-118.3908,34.145,p
-118.36,34.075,p
-114.8748,36.3587,p
-86.1667,39.7631,p
-76.735,39.2525,p
-98.334,40.57,p
-122.0697,37.9978,p
-75.1275,39.9231,p
-72.7686,41.6914,p
-72.7611,41.6919,p
-120.2244,36.1372,p
-115.565,33.1779,p
-115.5114,33.1669,p
-119.0684,35.8563,p
-119.0681,35.8442,p
-119.057,35.8454,p
-119.027,35.8504,p
-72.7552,42.1756,p
-75.0262,39.9419,p
-118.4999,34.3801,p
-71.7222,42.4419,p
-77.7271,39.6809,p
-90.3781,32.9041,p
-96.5397,28.6503,p
-96.2186,43.9931,p
-75.4342,43.8861,p
-76.2144,43.0664,p
-87.5777,41.6588,p
-119.5647,36.1381,p
-89.9782,29.9327,p
-83.2639,33.9256,p
-78.4338,35.5119,p
-74.634,40.624,p
-93.3234,30.1826,p
-114.9933,35.7881,p
-114.9933,35.7814,p
-72.1586,41.5706,p
-72.1046,41.5769,p
-76.0192,38.5158,p
-84.395,33.7592,p
-80.5683,36.4386,p
-76.3651,39.3236,p
-78.9619,36.435,p
-78.0118,33.9444,p
-98.2692,29.378,p
-84.1662,34.9895,p
-121.7556,37.9219,p
-121.7194,37.9697,p
-87.8542,41.1603,p
-80.1665,26.288,p
-122.0594,37.6589,p
-119.7417,36.8098,p
-118.5306,34.2433,p
-104.58,38.3061,p
-119.0479,34.162,p
-117.8887,33.8791,p
-117.8887,33.8791,p
-117.8866,33.8806,p
-72.653,41.7505,p
-118.3083,35.0583,p
-83.8169,39.7419,p
-116.7103,33.915,p
-116.735,33.9172,p
-105.7088,39.6551,p
-116.0531,48.0844,p
-72.5793,42.5875,p
-72.61,42.2,p
144.6862,13.4638,p
-85.4352,44.2617,p
-72.6119,44.5776,p
-73.6219,44.695,p
-72.9403,40.8142,p
-116.9439,32.5624,p
-117.1174,33.1219,p
-120.5806,36.6529,p
-121.92399999999999,38.3989,p
-120.3658,36.7575,p
-118.7236,34.1511,p
-93.345,30.1608,p
-83.9806,35.4923,p
-88.2306,45.3569,p
-88.2717,33.6464,p
-85.9731,33.5883,p
-118.1256,34.1385,p
-121.7039,38.0011,p
-87.8783,40.2117,p
